time,ec_flux,w_mean,L,ustar,r_Tsw,w_abs_mean,C_alpha,Ts_alpha,alpha_analytic,flux_error,zL,RNcov,tea_flux_turnipseed,w_sigma,tea_flux_emad,tea_flux_hicks
2020-06-19T06:00:00.100Z,-7.55839463258344,0.0353944879710709,-115.117226967158,0.314335747320208,0.392558781640704,0.304751429333988,0.155118518818208,0.16966027513664,0.0718071153029438,0.0180157991724605,-0.0434339857876045,-0.0216285991372478,-7.42222411281656,0.392754064692848,-7.57141668361086,-7.52371145926759
2020-06-19T06:30:00Z,-7.21361094722103,-0.185694177726597,-114.859503145382,0.293561385879002,0.363454613811049,0.316095986942253,-0.425884523884391,-0.38898853116229,-0.412135773521912,0.250190700724218,-0.0435314437471605,-0.0219491582192719,-5.4088325695837,0.342651141239939,-7.01094343084119,-8.25915736327174
2020-06-19T07:00:00Z,-15.7972903026323,-0.0461550759867006,-73.4863136301373,0.380612849557006,0.383646495514425,0.317291220560552,0.0159152388186121,-0.0222342355944975,-0.0919459957265058,-0.00231512569343009,-0.0680398805302089,-0.0788408682642752,-15.8338630152985,0.399633677505237,-15.8852410428499,-16.1761561272718
2020-06-19T07:30:00Z,-19.1376119306001,0.108988491874075,-25.8443440769691,0.305971953507519,0.417666773621931,0.325823951602814,0.589270958384338,0.565702221565923,0.208964025457157,0.197111822944772,-0.193465927597509,-0.120950981236106,-15.36536235615,0.411330748190369,-18.9515219572595,-17.3012128934071
2020-06-19T08:00:00Z,-16.9802304329778,-0.174220798350879,-44.9889096077704,0.384316351803669,0.392479799622039,0.381093832007417,-0.113794487068336,-0.100159501223616,-0.312749404125356,0.0520222704223366,-0.111138501546088,-0.000856131642244083,-16.0968802935597,0.432751004267683,-16.8693073612869,-20.3499129235889
2020-06-19T08:30:00Z,-15.2723331694764,-0.00046651133924724,-60.1810070623802,0.431684304876747,0.384920763269151,0.399062069241246,0.193393495317424,0.149186076753394,-0.000744261927790868,-0.00022608076651779,-0.0830826907701509,-0.0364215238127112,-15.2757859502658,0.500122506804764,-15.2731222958612,-15.275806826284
2020-06-19T09:00:00Z,-18.2385427973607,0.0584738069219461,-55.963366256424,0.427700999267412,0.420535096531343,0.397015424906838,0.279743195718714,0.263959731845698,0.0940977676757713,0.0412015468114941,-0.0893441609121583,-0.0185170052692151,-17.4870866225217,0.49466550886844,-18.1944297121925,-17.8748350277618
2020-06-19T09:30:00Z,-16.7852196755185,0.264042342570077,-62.6441203448938,0.446627296654101,0.409570491229814,0.445427627460583,0.689745057647712,0.638613301043188,0.403023368230487,0.408869790667735,-0.0798159503632898,-0.11101034980407,-9.92225042047789,0.499367790686805,-15.9665385835462,-15.297780159256
2020-06-19T10:00:00Z,-16.3041380703457,0.205057781084059,-58.6447101404526,0.446780869669523,0.385904937489081,0.443764851780234,0.435044140179581,0.428309461863859,0.307067282548287,0.201028057316775,-0.0852591817407764,-0.00263242736404909,-13.0265488678403,0.519293639468101,-16.2408796666033,-16.5631868429658
2020-06-19T10:30:00Z,-12.5741359234358,0.175841803064574,-84.6646494560527,0.495310782701179,0.369260151925869,0.431123291720946,0.472354222297515,0.381938234419581,0.26829610511597,0.192658619306798,-0.0590565251509767,-0.0427436654457233,-10.1516202574511,0.512867869926515,-12.0248622661708,-12.1774203194825
